ad_id,reporting_start,reporting_end,campaign_id,fb_campaign_id,age,gender,interest1,interest2,interest3,impressions,clicks,spent,total_conversion,approved_conversion,issue_age,issue_gender,issue_campaign_shift,issue_fb_shift
1121671,18/08/2017,18/08/2017,45-49,M,28,29,32,139406,24,39.04999948,1,0.0,,,True,True,True,True
1121672,29/08/2017,29/08/2017,45-49,M,28,32,31,60314,11,16.93999958,2,1.0,,,True,True,True,True
1121673,29/08/2017,29/08/2017,45-49,M,29,34,30,563074,86,142.7099985,4,2.0,,,True,True,True,True
1121674,27/08/2017,27/08/2017,45-49,M,29,30,30,168655,18,27.29999983,2,0.0,,,True,True,True,True
1121675,27/08/2017,27/08/2017,45-49,M,29,34,31,111963,17,29.3799994,2,1.0,,,True,True,True,True
1121676,27/08/2017,27/08/2017,45-49,M,29,32,30,1026304,168,277.5799986,17,8.0,,,True,True,True,True
1121677,27/08/2017,27/08/2017,45-49,M,29,35,34,1391924,258,422.8400038,17,10.0,,,True,True,True,True
1121678,27/08/2017,27/08/2017,45-49,M,29,33,33,147551,22,38.50000083,1,0.0,,,True,True,True,True
1121685,27/08/2017,27/08/2017,45-49,M,31,36,36,66794,9,17.3299998,1,1.0,,,True,True,True,True
1121687,27/08/2017,27/08/2017,45-49,M,31,37,36,118882,19,32.30999994,2,1.0,,,True,True,True,True
1121689,27/08/2017,27/08/2017,45-49,M,31,37,35,148010,24,41.96999943,1,0.0,,,True,True,True,True
1121691,26/08/2017,26/08/2017,45-49,M,32,34,33,932890,197,352.4499989,3,1.0,,,True,True,True,True
1121692,26/08/2017,26/08/2017,45-49,M,32,34,37,718359,147,264.5899997,4,1.0,,,True,True,True,True
1121693,26/08/2017,26/08/2017,45-49,M,32,35,35,433658,82,158.5999998,5,2.0,,,True,True,True,True
1121695,26/08/2017,26/08/2017,45-49,M,32,34,38,29455,3,4.769999981,1,0.0,,,True,True,True,True
1121701,26/08/2017,26/08/2017,45-49,M,36,38,38,23973,3,4.820000052,1,1.0,,,True,True,True,True
1121705,26/08/2017,26/08/2017,45-49,M,63,68,67,126480,25,37.25999999,1,1.0,,,True,True,True,True
1121706,26/08/2017,26/08/2017,45-49,M,63,64,67,138959,28,39.5200007,1,0.0,,,True,True,True,True
1121708,26/08/2017,26/08/2017,45-49,M,63,65,68,68829,12,19.47999978,1,0.0,,,True,True,True,True
1121711,26/08/2017,26/08/2017,45-49,M,64,69,65,49916,10,16.38,1,1.0,,,True,True,True,True
1121716,26/08/2017,26/08/2017,45-49,M,65,67,67,76014,16,22.67000031,1,1.0,,,True,True,True,True
1121723,26/08/2017,26/08/2017,45-49,M,2,5,4,50947,10,15.99000025,1,0.0,,,True,True,True,True
1121733,27/08/2017,27/08/2017,45-49,M,66,71,70,55536,11,17.04999995,1,0.0,,,True,True,True,True
1121741,27/08/2017,27/08/2017,30-34,F,10,13,14,318042,46,64.40999997,8,4.0,,,True,True,True,True
1121742,28/08/2017,28/08/2017,30-34,F,10,14,11,213016,30,44.21999955,8,2.0,,,True,True,True,True
1121745,28/08/2017,28/08/2017,30-34,F,15,19,16,182265,27,38.18000007,2,1.0,,,True,True,True,True
1121746,28/08/2017,28/08/2017,30-34,F,15,17,18,1117371,177,268.050002,26,5.0,,,True,True,True,True
1121749,28/08/2017,28/08/2017,30-34,F,15,17,17,333345,52,77.59000027,5,1.0,,,True,True,True,True
1121751,29/08/2017,29/08/2017,30-34,F,16,17,21,275930,30,46.77999997,5,2.0,,,True,True,True,True
1121753,29/08/2017,29/08/2017,30-34,F,16,20,19,740631,101,153.1199975,9,1.0,,,True,True,True,True
1121754,29/08/2017,29/08/2017,30-34,F,16,17,17,328272,35,55.99000025,2,1.0,,,True,True,True,True
1121755,29/08/2017,29/08/2017,30-34,F,16,20,21,178455,20,31.5400002,6,3.0,,,True,True,True,True
1121756,29/08/2017,29/08/2017,30-34,F,16,18,19,705712,98,147.339999,6,1.0,,,True,True,True,True
1121758,28/08/2017,28/08/2017,30-34,F,18,19,20,690373,91,159.5700021,5,2.0,,,True,True,True,True
1121759,28/08/2017,28/08/2017,30-34,F,18,21,19,515812,69,117.6299995,3,1.0,,,True,True,True,True
1121760,28/08/2017,28/08/2017,30-34,F,18,21,21,764793,101,171.9799976,4,2.0,,,True,True,True,True
1121763,28/08/2017,28/08/2017,30-34,F,19,22,23,87832,11,18.10000038,1,1.0,,,True,True,True,True
1121764,28/08/2017,28/08/2017,30-34,F,19,22,23,23368,3,4.300000191,1,0.0,,,True,True,True,True
1121765,28/08/2017,28/08/2017,30-34,F,19,24,23,51509,7,11.57000005,1,0.0,,,True,True,True,True
1121767,28/08/2017,28/08/2017,30-34,F,19,20,23,87043,16,24.48000002,2,0.0,,,True,True,True,True
1121768,28/08/2017,28/08/2017,30-34,F,19,20,25,565565,113,169.6699982,7,4.0,,,True,True,True,True
1121769,28/08/2017,28/08/2017,30-34,F,20,26,26,253758,43,62.14000034,4,1.0,,,True,True,True,True
1121773,28/08/2017,28/08/2017,30-34,F,20,22,21,319131,51,76.68000025,6,1.0,,,True,True,True,True
1121774,28/08/2017,28/08/2017,30-34,F,20,22,21,670608,130,195.1499978,11,3.0,,,True,True,True,True
1121775,18/08/2017,18/08/2017,30-34,F,21,24,25,159123,25,38.36000013,5,3.0,,,True,True,True,True
1121776,18/08/2017,18/08/2017,30-34,F,21,23,22,103709,15,24.56999969,3,1.0,,,True,True,True,True
1121779,22/08/2017,22/08/2017,30-34,F,21,27,23,271589,45,74.41000032,9,3.0,,,True,True,True,True
1121780,22/08/2017,22/08/2017,30-34,F,21,25,22,119772,20,33.46999907,5,2.0,,,True,True,True,True
1121782,21/08/2017,21/08/2017,30-34,F,22,23,23,26340,3,4.220000029,1,1.0,,,True,True,True,True
1121783,22/08/2017,22/08/2017,30-34,F,22,27,28,594968,111,147.6700006,4,0.0,,,True,True,True,True
1121791,22/08/2017,22/08/2017,30-34,F,23,25,24,6838,0,0.0,1,0.0,,,True,True,True,True
1121793,22/08/2017,22/08/2017,30-34,F,24,30,25,185665,39,62.14000058,1,0.0,,,True,True,True,True
1121795,22/08/2017,22/08/2017,30-34,F,24,29,25,24959,3,4.560000062,1,1.0,,,True,True,True,True
1121796,22/08/2017,22/08/2017,30-34,F,24,28,27,136967,23,35.05999982,3,1.0,,,True,True,True,True
1121798,21/08/2017,21/08/2017,30-34,F,24,26,26,107548,19,29.31000018,1,0.0,,,True,True,True,True
1121803,21/08/2017,21/08/2017,30-34,F,25,31,28,588617,119,169.9199973,2,0.0,,,True,True,True,True
1121806,20/08/2017,20/08/2017,30-34,F,26,31,30,190560,26,41.63,3,1.0,,,True,True,True,True
1121807,20/08/2017,20/08/2017,30-34,F,26,30,32,373110,49,75.70000076,4,2.0,,,True,True,True,True
1121812,20/08/2017,20/08/2017,30-34,F,27,33,29,935646,170,256.4699982,19,6.0,,,True,True,True,True
1121814,21/08/2017,21/08/2017,30-34,F,27,28,31,2223278,421,612.3000032,38,13.0,,,True,True,True,True
1121815,21/08/2017,21/08/2017,30-34,F,27,33,28,240497,36,51.84000087,1,0.0,,,True,True,True,True
1121816,21/08/2017,21/08/2017,30-34,F,27,30,30,259984,37,54.7900002,5,0.0,,,True,True,True,True
1121817,21/08/2017,21/08/2017,30-34,F,28,31,29,606786,127,179.050001,11,3.0,,,True,True,True,True
1121818,21/08/2017,21/08/2017,30-34,F,28,31,34,83270,13,17.74000001,1,0.0,,,True,True,True,True
1121819,21/08/2017,21/08/2017,30-34,F,28,34,29,1189509,268,375.7199963,7,3.0,,,True,True,True,True
1121820,22/08/2017,22/08/2017,30-34,F,28,29,32,11471,1,1.570000052,0,0.0,,,True,True,True,True
1121824,22/08/2017,22/08/2017,30-34,F,29,35,34,1705246,295,429.4799981,23,10.0,,,True,True,True,True
1121826,23/08/2017,23/08/2017,30-34,F,29,31,30,418016,63,95.8500005,3,1.0,,,True,True,True,True
1121827,23/08/2017,23/08/2017,30-34,F,29,31,30,30155,3,3.819999933,1,0.0,,,True,True,True,True
1121828,23/08/2017,23/08/2017,30-34,F,29,33,33,990404,153,226.5399992,12,6.0,,,True,True,True,True
1121829,24/08/2017,24/08/2017,30-34,F,30,35,35,187468,34,50.72000062,2,1.0,,,True,True,True,True
1121832,24/08/2017,24/08/2017,30-34,F,30,36,36,208301,33,54.57000089,1,0.0,,,True,True,True,True
1121833,24/08/2017,24/08/2017,30-34,F,30,36,36,101856,16,25.22000039,4,1.0,,,True,True,True,True
1121835,24/08/2017,24/08/2017,30-34,F,31,35,36,48935,7,9.970000267,1,1.0,,,True,True,True,True
1121839,24/08/2017,24/08/2017,30-34,F,31,33,34,13911,1,1.730000019,1,1.0,,,True,True,True,True
1121841,23/08/2017,23/08/2017,30-34,F,32,38,34,511726,77,123.0900019,8,4.0,,,True,True,True,True
1121843,23/08/2017,23/08/2017,30-34,F,32,38,37,177452,24,37.83000016,2,0.0,,,True,True,True,True
1121844,23/08/2017,23/08/2017,30-34,F,32,38,36,149808,20,33.03999937,1,1.0,,,True,True,True,True
1121845,22/08/2017,22/08/2017,30-34,F,32,34,38,390339,60,105.0199997,9,6.0,,,True,True,True,True
1121846,22/08/2017,22/08/2017,30-34,F,32,37,34,8350,0,0.0,1,0.0,,,True,True,True,True
1121847,23/08/2017,23/08/2017,30-34,F,36,38,37,39339,4,5.929999948,1,0.0,,,True,True,True,True
1121854,23/08/2017,23/08/2017,30-34,F,63,65,64,8587,0,0.0,1,0.0,,,True,True,True,True
1121855,23/08/2017,23/08/2017,30-34,F,63,67,65,24893,2,3.75,1,0.0,,,True,True,True,True
1121856,23/08/2017,23/08/2017,30-34,F,63,64,64,1296189,212,343.2599944,14,4.0,,,True,True,True,True
1121857,23/08/2017,23/08/2017,30-34,F,63,65,65,91607,12,19.1899997,2,1.0,,,True,True,True,True
1121859,23/08/2017,23/08/2017,30-34,F,64,67,67,238036,38,61.02999771,6,3.0,,,True,True,True,True
1121860,20/08/2017,20/08/2017,30-34,F,64,67,68,254344,35,56.16999996,2,1.0,,,True,True,True,True
1121861,20/08/2017,20/08/2017,30-34,F,64,66,69,157705,23,39.23000026,2,0.0,,,True,True,True,True
1121862,17/08/2017,17/08/2017,30-34,F,64,67,69,411571,60,99.1799984,6,1.0,,,True,True,True,True
1121863,17/08/2017,17/08/2017,30-34,F,64,69,70,94136,11,16.17999971,1,0.0,,,True,True,True,True
1121867,17/08/2017,17/08/2017,30-34,F,65,69,71,82640,16,23.97000039,1,1.0,,,True,True,True,True
1121869,18/08/2017,18/08/2017,30-34,F,65,69,68,17870,2,2.620000005,1,1.0,,,True,True,True,True
1121871,18/08/2017,18/08/2017,30-34,F,2,8,7,19178,2,2.779999971,1,1.0,,,True,True,True,True
1121873,18/08/2017,18/08/2017,30-34,F,2,6,7,5264,0,0.0,1,0.0,,,True,True,True,True
1121874,18/08/2017,18/08/2017,30-34,F,2,8,4,145548,28,42.37000036,2,1.0,,,True,True,True,True
1121876,18/08/2017,18/08/2017,30-34,F,2,6,8,82455,15,22.04999971,1,0.0,,,True,True,True,True
1121877,17/08/2017,17/08/2017,30-34,F,7,10,9,44189,7,10.31999981,2,0.0,,,True,True,True,True
1121878,17/08/2017,17/08/2017,30-34,F,7,8,8,45199,7,9.809999943,1,0.0,,,True,True,True,True
1121881,30/08/2017,30/08/2017,30-34,F,7,8,13,221843,43,63.45000076,5,0.0,,,True,True,True,True
1121888,30/08/2017,30/08/2017,30-34,F,66,72,69,41672,6,10.54999995,2,1.0,,,True,True,True,True
1121889,30/08/2017,30/08/2017,35-39,F,10,15,13,127546,25,38.94000041,2,0.0,,,True,True,True,True
1121890,17/08/2017,17/08/2017,35-39,F,10,16,15,127865,28,38.02999961,3,1.0,,,True,True,True,True
1121891,17/08/2017,17/08/2017,35-39,F,10,15,13,1025327,229,314.2999983,16,2.0,,,True,True,True,True
1121894,17/08/2017,17/08/2017,35-39,F,10,14,14,561415,124,173.76,3,0.0,,,True,True,True,True
1121895,17/08/2017,17/08/2017,35-39,F,15,21,21,132803,25,37.32000124,2,1.0,,,True,True,True,True
1121897,17/08/2017,17/08/2017,35-39,F,15,18,17,24664,2,2.629999995,1,1.0,,,True,True,True,True
1121901,17/08/2017,17/08/2017,35-39,F,16,17,21,1020561,172,263.8100007,7,3.0,,,True,True,True,True
1121902,18/08/2017,18/08/2017,35-39,F,16,17,22,682143,114,177.1099993,6,2.0,,,True,True,True,True
1121903,18/08/2017,18/08/2017,35-39,F,16,18,18,1247717,222,343.4199994,11,4.0,,,True,True,True,True
1121904,19/08/2017,19/08/2017,35-39,F,16,21,18,146406,23,33.22999942,1,1.0,,,True,True,True,True
1121905,19/08/2017,19/08/2017,35-39,F,16,17,21,905699,161,234.6599982,4,1.0,,,True,True,True,True
1121906,19/08/2017,19/08/2017,35-39,F,16,21,17,1184580,194,297.8299981,14,3.0,,,True,True,True,True
1121907,20/08/2017,20/08/2017,35-39,F,18,22,19,98057,20,31.00999963,1,1.0,,,True,True,True,True
1121917,20/08/2017,20/08/2017,35-39,F,19,22,24,238735,56,84.65999889,4,1.0,,,True,True,True,True
1121918,20/08/2017,20/08/2017,35-39,F,19,23,25,320657,77,115.8800026,2,0.0,,,True,True,True,True
1121925,20/08/2017,20/08/2017,35-39,F,21,27,23,244074,57,84.51000023,4,2.0,,,True,True,True,True
1121928,20/08/2017,20/08/2017,35-39,F,21,27,24,39146,8,13.05999959,1,0.0,,,True,True,True,True
1121931,20/08/2017,20/08/2017,35-39,F,22,26,23,78468,15,23.64999962,1,0.0,,,True,True,True,True
1121933,19/08/2017,19/08/2017,35-39,F,22,24,26,325653,63,89.35000026,2,0.0,,,True,True,True,True
1121935,19/08/2017,19/08/2017,35-39,F,22,25,23,66277,12,17.30000019,1,0.0,,,True,True,True,True
1121936,18/08/2017,18/08/2017,35-39,F,22,26,25,93002,16,23.33999968,1,0.0,,,True,True,True,True
1121944,18/08/2017,18/08/2017,35-39,F,24,25,29,109723,27,40.9600004,1,0.0,,,True,True,True,True
1121948,18/08/2017,18/08/2017,35-39,F,24,27,28,118941,35,50.11000001,4,1.0,,,True,True,True,True
1121949,19/08/2017,19/08/2017,35-39,F,25,27,27,221576,47,66.79000068,6,1.0,,,True,True,True,True
1121953,19/08/2017,19/08/2017,35-39,F,25,29,27,8341,1,1.639999986,1,0.0,,,True,True,True,True
1121954,19/08/2017,19/08/2017,35-39,F,25,30,27,120335,26,36.2299993,2,0.0,,,True,True,True,True
1121955,19/08/2017,19/08/2017,35-39,F,26,28,31,182098,40,62.86999989,1,1.0,,,True,True,True,True
1121956,19/08/2017,19/08/2017,35-39,F,26,31,28,227473,52,71.58000052,1,1.0,,,True,True,True,True
1121962,19/08/2017,19/08/2017,35-39,F,27,30,32,1050947,230,350.5099957,6,1.0,,,True,True,True,True
1121963,24/08/2017,24/08/2017,35-39,F,27,32,28,720859,162,213.6899986,13,5.0,,,True,True,True,True
1121971,24/08/2017,24/08/2017,35-39,F,28,31,32,41111,8,10.96000016,1,0.0,,,True,True,True,True
1121973,30/08/2017,30/08/2017,35-39,F,29,31,34,148616,25,37.39999962,6,4.0,,,True,True,True,True
1121976,30/08/2017,30/08/2017,35-39,F,29,34,34,707260,135,210.8200028,13,6.0,,,True,True,True,True
1121977,30/08/2017,30/08/2017,35-39,F,29,32,32,139596,26,42.41000032,1,1.0,,,True,True,True,True
1121983,30/08/2017,30/08/2017,35-39,F,30,34,31,105399,22,33.19999933,2,0.0,,,True,True,True,True
1121994,30/08/2017,30/08/2017,35-39,F,32,33,34,222378,50,72.91000104,1,0.0,,,True,True,True,True
1122003,17/08/2017,17/08/2017,35-39,F,63,69,68,975792,210,293.8800011,10,4.0,,,True,True,True,True
1122004,30/08/2017,30/08/2017,35-39,F,63,65,67,579150,125,167.0499997,5,1.0,,,True,True,True,True
1122005,30/08/2017,30/08/2017,35-39,F,63,65,69,449588,81,123.800001,5,2.0,,,True,True,True,True
1122006,30/08/2017,30/08/2017,35-39,F,63,68,65,318157,56,85.70000196,3,0.0,,,True,True,True,True
1122007,30/08/2017,30/08/2017,35-39,F,63,65,64,196967,43,65.17999971,2,1.0,,,True,True,True,True
1122011,29/08/2017,29/08/2017,35-39,F,64,70,67,158298,37,46.43000007,4,1.0,,,True,True,True,True
1122012,29/08/2017,29/08/2017,35-39,F,64,67,69,222739,55,68.55999959,5,2.0,,,True,True,True,True
1122022,29/08/2017,29/08/2017,35-39,F,2,4,3,20780,5,8.189999938,1,0.0,,,True,True,True,True
1122027,29/08/2017,29/08/2017,35-39,F,7,9,8,128616,33,48.54999948,2,0.0,,,True,True,True,True
1122039,29/08/2017,29/08/2017,40-44,F,10,12,15,258954,61,82.27999902,1,0.0,,,True,True,True,True
1122040,30/08/2017,30/08/2017,40-44,F,10,15,11,205289,48,71.53000104,3,0.0,,,True,True,True,True
1122041,30/08/2017,30/08/2017,40-44,F,10,13,12,611601,138,191.419996,8,3.0,,,True,True,True,True
1122043,30/08/2017,30/08/2017,40-44,F,10,13,14,947657,233,321.8700004,8,4.0,,,True,True,True,True
1122044,29/08/2017,29/08/2017,40-44,F,10,16,14,233043,49,65.03000033,2,0.0,,,True,True,True,True
1122047,17/08/2017,17/08/2017,40-44,F,15,18,21,582725,142,194.8099988,9,2.0,,,True,True,True,True
1122052,17/08/2017,17/08/2017,40-44,F,16,20,19,265038,51,78.45999932,2,1.0,,,True,True,True,True
1122054,18/08/2017,18/08/2017,40-44,F,16,20,18,222273,39,53.62999868,6,1.0,,,True,True,True,True
1122055,18/08/2017,18/08/2017,40-44,F,16,22,19,797234,170,243.7699978,4,1.0,,,True,True,True,True
1122056,17/08/2017,17/08/2017,40-44,F,16,19,21,925555,182,262.8899981,4,2.0,,,True,True,True,True
1122058,18/08/2017,18/08/2017,40-44,F,18,19,24,22210,3,4.050000191,1,1.0,,,True,True,True,True
1122075,18/08/2017,18/08/2017,40-44,F,21,25,23,46391,11,16.40999985,3,1.0,,,True,True,True,True
1122078,18/08/2017,18/08/2017,40-44,F,21,27,25,190477,42,66.38999987,1,0.0,,,True,True,True,True
1122079,18/08/2017,18/08/2017,40-44,F,21,24,27,25382,7,9.609999895,1,0.0,,,True,True,True,True
1122085,18/08/2017,18/08/2017,40-44,F,22,26,25,65726,17,22.12000012,2,0.0,,,True,True,True,True
1122089,17/08/2017,17/08/2017,40-44,F,23,25,29,195220,51,78.06000042,1,0.0,,,True,True,True,True
1122092,17/08/2017,17/08/2017,40-44,F,23,25,26,107501,27,40.87999928,2,2.0,,,True,True,True,True
1122101,17/08/2017,17/08/2017,40-44,F,25,26,30,197772,63,88.21000016,7,2.0,,,True,True,True,True
1122102,17/08/2017,17/08/2017,40-44,F,25,30,29,138154,35,48.93999863,1,0.0,,,True,True,True,True
1122103,17/08/2017,17/08/2017,40-44,F,25,26,30,270124,69,95.84999895,2,0.0,,,True,True,True,True
1122105,17/08/2017,17/08/2017,40-44,F,26,28,27,303971,77,106.9299998,11,6.0,,,True,True,True,True
1122107,17/08/2017,17/08/2017,40-44,F,26,30,29,682046,183,254.419997,4,2.0,,,True,True,True,True
1122109,17/08/2017,17/08/2017,40-44,F,26,27,28,328365,83,117.3400005,2,1.0,,,True,True,True,True
1122112,17/08/2017,17/08/2017,40-44,F,27,31,33,1083259,276,390.2599992,11,0.0,,,True,True,True,True
1122113,17/08/2017,17/08/2017,40-44,F,27,33,28,913929,245,340.4099993,7,2.0,,,True,True,True,True
1122118,17/08/2017,17/08/2017,40-44,F,28,31,33,101586,24,33.47000039,2,1.0,,,True,True,True,True
1122120,29/08/2017,29/08/2017,40-44,F,28,30,32,181053,46,66.27999985,3,1.0,,,True,True,True,True
1122121,29/08/2017,29/08/2017,40-44,F,28,30,34,133419,35,48.18000007,2,1.0,,,True,True,True,True
1122125,26/08/2017,26/08/2017,40-44,F,29,34,32,489573,113,156.1199993,3,2.0,,,True,True,True,True
1122127,26/08/2017,26/08/2017,40-44,F,29,32,31,822023,194,288.3300035,6,0.0,,,True,True,True,True
1122131,26/08/2017,26/08/2017,40-44,F,30,32,35,93176,29,40.37000024,1,1.0,,,True,True,True,True
1122138,26/08/2017,26/08/2017,40-44,F,31,32,37,47229,13,19.27999985,1,0.0,,,True,True,True,True
1122139,26/08/2017,26/08/2017,40-44,F,31,36,32,92263,24,34.03000015,1,0.0,,,True,True,True,True
1122140,26/08/2017,26/08/2017,40-44,F,31,35,35,81551,21,29.67000008,1,0.0,,,True,True,True,True
1122145,26/08/2017,26/08/2017,40-44,F,32,35,34,141037,32,47.78999913,3,0.0,,,True,True,True,True
1122146,26/08/2017,26/08/2017,40-44,F,32,38,37,319501,79,111.6500003,0,0.0,,,True,True,True,True
1122149,26/08/2017,26/08/2017,40-44,F,36,41,37,72741,19,24.33000016,2,0.0,,,True,True,True,True
1122154,25/08/2017,25/08/2017,40-44,F,63,66,68,597419,135,188.5100002,2,1.0,,,True,True,True,True
1122157,25/08/2017,25/08/2017,40-44,F,63,69,66,98768,21,33.14000034,1,1.0,,,True,True,True,True
1122160,24/08/2017,24/08/2017,40-44,F,64,69,67,173165,41,59.85000026,1,0.0,,,True,True,True,True
1122165,24/08/2017,24/08/2017,40-44,F,65,68,69,55823,13,21.10999966,1,1.0,,,True,True,True,True
1122166,25/08/2017,25/08/2017,40-44,F,65,66,68,118451,28,38.35000062,4,1.0,,,True,True,True,True
1122176,25/08/2017,25/08/2017,40-44,F,2,6,8,74424,22,30.84000027,1,1.0,,,True,True,True,True
1122177,25/08/2017,25/08/2017,40-44,F,7,10,12,47929,12,14.58999991,1,1.0,,,True,True,True,True
1122182,25/08/2017,25/08/2017,40-44,F,7,10,8,40801,12,15.91999972,0,0.0,,,True,True,True,True
1122183,25/08/2017,25/08/2017,40-44,F,66,71,67,66017,17,24.22000015,1,0.0,,,True,True,True,True
1122189,25/08/2017,25/08/2017,45-49,F,10,16,14,725043,179,238.4000007,5,3.0,,,True,True,True,True
1122191,27/08/2017,27/08/2017,45-49,F,10,16,16,382776,97,132.7300007,5,1.0,,,True,True,True,True
1122192,27/08/2017,27/08/2017,45-49,F,10,16,13,548250,137,201.6000042,5,1.0,,,True,True,True,True
1122193,28/08/2017,28/08/2017,45-49,F,10,11,15,1358324,346,465.0799981,8,2.0,,,True,True,True,True
1122197,28/08/2017,28/08/2017,45-49,F,15,16,20,662249,163,234.9399992,2,0.0,,,True,True,True,True
1122200,28/08/2017,28/08/2017,45-49,F,15,16,16,559554,139,195.0799994,2,0.0,,,True,True,True,True
1122201,28/08/2017,28/08/2017,45-49,F,16,19,21,320757,68,104.6899989,2,0.0,,,True,True,True,True
1122202,28/08/2017,28/08/2017,45-49,F,16,20,19,906151,202,295.5499957,1,0.0,,,True,True,True,True
1122203,29/08/2017,29/08/2017,45-49,F,16,22,19,699314,164,226.0300014,3,0.0,,,True,True,True,True
1122204,28/08/2017,28/08/2017,45-49,F,16,21,22,850337,198,287.690003,3,1.0,,,True,True,True,True
1122205,28/08/2017,28/08/2017,45-49,F,16,20,22,1015460,247,315.9000051,9,2.0,,,True,True,True,True
